election_year,party,share,sample_size,source_id,source_location
2010,V,0.061,11889,valu_2010_report,Table 3.14 PDF page 36
2010,S,0.300,11889,valu_2010_report,Table 3.14 PDF page 36
2010,MP,0.090,11889,valu_2010_report,Table 3.14 PDF page 36
2010,C,0.071,11889,valu_2010_report,Table 3.14 PDF page 36
2010,L,0.072,11889,valu_2010_report,Table 3.14 PDF page 36
2010,M,0.291,11889,valu_2010_report,Table 3.14 PDF page 36
2010,KD,0.057,11889,valu_2010_report,Table 3.14 PDF page 36
2010,SD,0.046,11889,valu_2010_report,Table 3.14 PDF page 36
2010,OTHER,0.012,11889,valu_2010_report,Table 3.14 PDF page 36
2014,V,0.066,12909,valu_2022_historical_report,Table 3.3 printed page 20
2014,S,0.311,12909,valu_2022_historical_report,Table 3.3 printed page 20
2014,MP,0.071,12909,valu_2022_historical_report,Table 3.3 printed page 20
2014,C,0.065,12909,valu_2022_historical_report,Table 3.3 printed page 20
2014,L,0.060,12909,valu_2022_historical_report,Table 3.3 printed page 20
2014,M,0.222,12909,valu_2022_historical_report,Table 3.3 printed page 20
2014,KD,0.050,12909,valu_2022_historical_report,Table 3.3 printed page 20
2014,SD,0.105,12909,valu_2022_historical_report,Table 3.3 printed page 20
2014,OTHER,0.050,12909,valu_2022_historical_report,FI 4.0 plus other 1.0
2018,V,0.090,11630,valu_2018_official,VALU prognosis PDF page 6
2018,S,0.262,11630,valu_2018_official,VALU prognosis PDF page 6
2018,MP,0.042,11630,valu_2018_official,VALU prognosis PDF page 6
2018,C,0.089,11630,valu_2018_official,VALU prognosis PDF page 6
2018,L,0.055,11630,valu_2018_official,VALU prognosis PDF page 6
2018,M,0.178,11630,valu_2018_official,VALU prognosis PDF page 6
2018,KD,0.074,11630,valu_2018_official,VALU prognosis PDF page 6
2018,SD,0.192,11630,valu_2018_official,VALU prognosis PDF page 6
2018,OTHER,0.018,11630,valu_2018_official,VALU prognosis PDF page 6
2022,V,0.070,11160,valu_2022_official,VALU prognosis PDF page 6
2022,S,0.293,11160,valu_2022_official,VALU prognosis PDF page 6
2022,MP,0.058,11160,valu_2022_official,VALU prognosis PDF page 6
2022,C,0.077,11160,valu_2022_official,VALU prognosis PDF page 6
2022,L,0.047,11160,valu_2022_official,VALU prognosis PDF page 6
2022,M,0.188,11160,valu_2022_official,VALU prognosis PDF page 6
2022,KD,0.052,11160,valu_2022_official,VALU prognosis PDF page 6
2022,SD,0.205,11160,valu_2022_official,VALU prognosis PDF page 6
2022,OTHER,0.010,11160,valu_2022_official,VALU prognosis PDF page 6
