transition_id,model,party,predicted_national_share,actual_evaluation_share
2014_2018,B2_poll_state,C,0.089431556740,0.086958132596
2014_2018,B2_poll_state,KD,0.028981660804,0.064050092851
2014_2018,B2_poll_state,L,0.043070140777,0.052461356126
2014_2018,B2_poll_state,M,0.225238015674,0.195576347302
2014_2018,B2_poll_state,MP,0.040759514876,0.041049017174
2014_2018,B2_poll_state,OTHER,0.027030285555,0.014660363276
2014_2018,B2_poll_state,S,0.286256738628,0.287312039632
2014_2018,B2_poll_state,SD,0.188136278306,0.182404147262
2014_2018,B2_poll_state,V,0.071095808639,0.075528503781
2014_2018,T0_calibrated,C,0.087560015634,0.086958132596
2014_2018,T0_calibrated,KD,0.028870280824,0.064050092851
2014_2018,T0_calibrated,L,0.043339544040,0.052461356126
2014_2018,T0_calibrated,M,0.224845932837,0.195576347302
2014_2018,T0_calibrated,MP,0.041630956909,0.041049017174
2014_2018,T0_calibrated,OTHER,0.028284357856,0.014660363276
2014_2018,T0_calibrated,S,0.285493826544,0.287312039632
2014_2018,T0_calibrated,SD,0.187728192529,0.182404147262
2014_2018,T0_calibrated,V,0.072246892826,0.075528503781
2014_2018,T0_calibrated_nonparty_poll,C,0.087921063383,0.086958132596
2014_2018,T0_calibrated_nonparty_poll,KD,0.028911462245,0.064050092851
2014_2018,T0_calibrated_nonparty_poll,L,0.043329495210,0.052461356126
2014_2018,T0_calibrated_nonparty_poll,M,0.225232521093,0.195576347302
2014_2018,T0_calibrated_nonparty_poll,MP,0.041500960515,0.041049017174
2014_2018,T0_calibrated_nonparty_poll,OTHER,0.027986359335,0.014660363276
2014_2018,T0_calibrated_nonparty_poll,S,0.285058085103,0.287312039632
2014_2018,T0_calibrated_nonparty_poll,SD,0.188357325253,0.182404147262
2014_2018,T0_calibrated_nonparty_poll,V,0.071702727863,0.075528503781
2014_2018,T0_calibrated_prior_0,C,0.088127345937,0.086958132596
2014_2018,T0_calibrated_prior_0,KD,0.028889667573,0.064050092851
2014_2018,T0_calibrated_prior_0,L,0.043088024194,0.052461356126
2014_2018,T0_calibrated_prior_0,M,0.224973995757,0.195576347302
2014_2018,T0_calibrated_prior_0,MP,0.040906172302,0.041049017174
2014_2018,T0_calibrated_prior_0,OTHER,0.027684982112,0.014660363276
2014_2018,T0_calibrated_prior_0,S,0.285868366907,0.287312039632
2014_2018,T0_calibrated_prior_0,SD,0.189334518581,0.182404147262
2014_2018,T0_calibrated_prior_0,V,0.071126926636,0.075528503781
2014_2018,T0_calibrated_prior_1000,C,0.087103989680,0.086958132596
2014_2018,T0_calibrated_prior_1000,KD,0.028909504588,0.064050092851
2014_2018,T0_calibrated_prior_1000,L,0.043683063176,0.052461356126
