transition_id,model,counties_won,counties_total,winning_vote_coverage,median_county_delta
2014_2018,B2_poll_state,0,21,0.000000000000,0.000000000000
2014_2018,T0_calibrated,0,21,0.000000000000,0.003318629443
2014_2018,T0_calibrated_nonparty_poll,1,21,0.199574834028,0.003057932168
2014_2018,T0_calibrated_prior_0,12,21,0.778671636267,-0.000203290756
2014_2018,T0_calibrated_prior_1000,0,21,0.000000000000,0.009712476976
2014_2018,T0_raw,17,21,0.906014361290,-0.001400855725
2014_2018,T0_shrunk_uncalibrated,0,21,0.000000000000,0.004283823484
2018_2022,B2_poll_state,0,21,0.000000000000,0.000000000000
2018_2022,T0_calibrated,7,21,0.155364849766,0.001283048210
2018_2022,T0_calibrated_nonparty_poll,12,21,0.525455772162,-0.000481156496
2018_2022,T0_calibrated_prior_0,16,21,0.632848913655,-0.001049574923
2018_2022,T0_calibrated_prior_1000,0,21,0.000000000000,0.005752487376
2018_2022,T0_calibrated_suppressed_zero,17,21,0.777273803617,-0.001180160288
2018_2022,T0_raw,17,21,0.649383200835,-0.000866229026
2018_2022,T0_shrunk_uncalibrated,4,21,0.084180502554,0.004225884061
