election_cycle,wave_id,forecast_cutoff,national_poll_mae_full,model,district_weighted_mae,district_unweighted_mae,national_mae,observations,districts
2018,scb_2018M05_original,2018-06-11,0.011624505012,B2_poll_state,0.019775019265,0.020059694436,0.011163810186,41679,4631
2018,scb_2018M05_original,2018-06-11,0.011624505012,T0_calibrated,0.022797921303,0.023379969311,0.010978099590,41679,4631
2018,scb_2018M05_original,2018-06-11,0.011624505012,T0_calibrated_nonparty_poll,0.022102916620,0.022661479579,0.011188938215,41679,4631
2018,scb_2018M05_original,2018-06-11,0.011624505012,T0_calibrated_prior_0,0.018986802249,0.019380225108,0.011227078211,41679,4631
2018,scb_2018M05_original,2018-06-11,0.011624505012,T0_calibrated_prior_1000,0.029647909791,0.030460603378,0.010850924043,41679,4631
2018,scb_2018M05_original,2018-06-11,0.011624505012,T0_raw,0.017711488233,0.018089131760,0.010455840448,41679,4631
2018,scb_2018M05_original,2018-06-11,0.011624505012,T0_shrunk_uncalibrated,0.024174463279,0.024750115165,0.015770219046,41679,4631
2022,scb_2022M05,2022-06-08,0.014840337671,B2_poll_state,0.021259229655,0.021860691231,0.014999584465,37476,4164
2022,scb_2022M05,2022-06-08,0.014840337671,T0_calibrated,0.023527735430,0.024146860733,0.015558900116,37476,4164
2022,scb_2022M05,2022-06-08,0.014840337671,T0_calibrated_nonparty_poll,0.021307773986,0.021891089668,0.015377348869,37476,4164
2022,scb_2022M05,2022-06-08,0.014840337671,T0_calibrated_prior_0,0.020322150428,0.020920488250,0.015321735952,37476,4164
2022,scb_2022M05,2022-06-08,0.014840337671,T0_calibrated_prior_1000,0.029447038054,0.030123901176,0.015955954345,37476,4164
2022,scb_2022M05,2022-06-08,0.014840337671,T0_calibrated_suppressed_zero,0.020165542737,0.020753670967,0.015316753587,37476,4164
2022,scb_2022M05,2022-06-08,0.014840337671,T0_raw,0.020737872074,0.021325187820,0.016119457364,37476,4164
2022,scb_2022M05,2022-06-08,0.014840337671,T0_shrunk_uncalibrated,0.026568836752,0.027262334453,0.020066818715,37476,4164
