transition_id,model,district_size,weighted_mae,weighted_observations
2014_2018,B2_poll_state,Q1_smallest,0.021161444292,7235856
2014_2018,B2_poll_state,Q2,0.020479484539,10111473
2014_2018,B2_poll_state,Q3,0.019857747612,11940102
2014_2018,B2_poll_state,Q4_largest,0.018518375189,14437611
2014_2018,T0_calibrated,Q1_smallest,0.026128645066,7235856
2014_2018,T0_calibrated,Q2,0.023496368253,10111473
2014_2018,T0_calibrated,Q3,0.022168934457,11940102
2014_2018,T0_calibrated,Q4_largest,0.021159644866,14437611
2014_2018,T0_calibrated_nonparty_poll,Q1_smallest,0.025312321560,7235856
2014_2018,T0_calibrated_nonparty_poll,Q2,0.022747942753,10111473
2014_2018,T0_calibrated_nonparty_poll,Q3,0.021543680282,11940102
2014_2018,T0_calibrated_nonparty_poll,Q4_largest,0.020505171854,14437611
2014_2018,T0_calibrated_prior_0,Q1_smallest,0.021063796558,7235856
2014_2018,T0_calibrated_prior_0,Q2,0.019580595644,10111473
2014_2018,T0_calibrated_prior_0,Q3,0.018675932653,11940102
2014_2018,T0_calibrated_prior_0,Q4_largest,0.017787078629,14437611
2014_2018,T0_calibrated_prior_1000,Q1_smallest,0.034531738090,7235856
2014_2018,T0_calibrated_prior_1000,Q2,0.030409612272,10111473
2014_2018,T0_calibrated_prior_1000,Q3,0.028610343206,11940102
2014_2018,T0_calibrated_prior_1000,Q4_largest,0.027524846529,14437611
2014_2018,T0_raw,Q1_smallest,0.019723336744,7235856
2014_2018,T0_raw,Q2,0.018305767313,10111473
2014_2018,T0_raw,Q3,0.017378936079,11940102
2014_2018,T0_raw,Q4_largest,0.016562006068,14437611
2014_2018,T0_shrunk_uncalibrated,Q1_smallest,0.027351367480,7235856
2014_2018,T0_shrunk_uncalibrated,Q2,0.025019034531,10111473
2014_2018,T0_shrunk_uncalibrated,Q3,0.023755752842,11940102
2014_2018,T0_shrunk_uncalibrated,Q4_largest,0.022337037722,14437611
2018_2022,B2_poll_state,Q1_smallest,0.024704838413,6391386
2018_2022,B2_poll_state,Q2,0.021054759216,8750421
2018_2022,B2_poll_state,Q3,0.020686315678,10357533
2018_2022,B2_poll_state,Q4_largest,0.020098412098,12318075
2018_2022,T0_calibrated,Q1_smallest,0.027351806624,6391386
2018_2022,T0_calibrated,Q2,0.023738399764,8750421
2018_2022,T0_calibrated,Q3,0.022674901562,10357533
2018_2022,T0_calibrated,Q4_largest,0.022111015547,12318075
2018_2022,T0_calibrated_nonparty_poll,Q1_smallest,0.024783857746,6391386
2018_2022,T0_calibrated_nonparty_poll,Q2,0.021448427339,8750421
2018_2022,T0_calibrated_nonparty_poll,Q3,0.020547994724,10357533
2018_2022,T0_calibrated_nonparty_poll,Q4_largest,0.020043101513,12318075
2018_2022,T0_calibrated_prior_0,Q1_smallest,0.023766713280,6391386
2018_2022,T0_calibrated_prior_0,Q2,0.020438114883,8750421
2018_2022,T0_calibrated_prior_0,Q3,0.019568491881,10357533
2018_2022,T0_calibrated_prior_0,Q4_largest,0.019086224740,12318075
2018_2022,T0_calibrated_prior_1000,Q1_smallest,0.033936472620,6391386
2018_2022,T0_calibrated_prior_1000,Q2,0.029766183159,8750421
2018_2022,T0_calibrated_prior_1000,Q3,0.028450144788,10357533
2018_2022,T0_calibrated_prior_1000,Q4_largest,0.027729155320,12318075
2018_2022,T0_calibrated_suppressed_zero,Q1_smallest,0.023546710915,6391386
2018_2022,T0_calibrated_suppressed_zero,Q2,0.020257326775,8750421
2018_2022,T0_calibrated_suppressed_zero,Q3,0.019406840264,10357533
2018_2022,T0_calibrated_suppressed_zero,Q4_largest,0.018983928398,12318075
2018_2022,T0_raw,Q1_smallest,0.024047249903,6391386
2018_2022,T0_raw,Q2,0.020938647769,8750421
2018_2022,T0_raw,Q3,0.020299619176,10357533
2018_2022,T0_raw,Q4_largest,0.019246635488,12318075
2018_2022,T0_shrunk_uncalibrated,Q1_smallest,0.030800251335,6391386
2018_2022,T0_shrunk_uncalibrated,Q2,0.027033590937,8750421
2018_2022,T0_shrunk_uncalibrated,Q3,0.025933335893,10357533
2018_2022,T0_shrunk_uncalibrated,Q4_largest,0.024577520936,12318075
