wave_id,party,poll_share
scb_2018M05_original,C,0.087000000000
scb_2018M05_original,KD,0.029000000000
scb_2018M05_original,L,0.044000000000
scb_2018M05_original,M,0.226000000000
scb_2018M05_original,MP,0.043000000000
scb_2018M05_original,OTHER,0.029000000000
scb_2018M05_original,S,0.283000000000
scb_2018M05_original,SD,0.185000000000
scb_2018M05_original,V,0.074000000000
scb_2022M05,C,0.067000000000
scb_2022M05,KD,0.052000000000
scb_2022M05,L,0.034000000000
scb_2022M05,M,0.213000000000
scb_2022M05,MP,0.033000000000
scb_2022M05,OTHER,0.020000000000
scb_2022M05,S,0.333000000000
scb_2022M05,SD,0.170000000000
scb_2022M05,V,0.078000000000
