transition_id,model,counties_won,counties_total,winning_vote_coverage,median_county_delta
2014_2018,B2_poll_state,0,21,0.000000000000,0.000000000000
2014_2018,T1_no_point_shrinkage_raked,12,21,0.778671636267,-0.000208329204
2014_2018,T1_nonparty_poll_point,1,21,0.199574834028,0.003057932168
2014_2018,T1_previous_party_hierarchical_raked,13,21,0.812550917618,-0.000265635413
2014_2018,T1_published_point_raked,12,21,0.778671636267,-0.000203290756
2018_2022,B2_poll_state,0,21,0.000000000000,0.000000000000
2018_2022,T1_no_point_shrinkage_raked,16,21,0.632848913655,-0.001181058352
2018_2022,T1_nonparty_poll_point,12,21,0.525455772162,-0.000481156496
2018_2022,T1_previous_party_hierarchical_raked,16,21,0.632848913655,-0.001165514576
2018_2022,T1_published_point_raked,16,21,0.632848913655,-0.001180329060
2018_2022,T1_suppressed_historical_point,16,21,0.632848913655,-0.001124671266
2018_2022,T1_suppressed_zero_point,17,21,0.777273803617,-0.001180160288
