previous_party,kappa,log_score,underidentified,used_fallback,n_calendar_years,n_training_rows,n_scored_folds,election_cycle,previous_election,target_wave,selection_metric
C,50.000000000000,-1371.907420526416,false,false,3,4,3,2018,2014,2018M05,effective_n_weighted_predictive_kl_log_score
KD,100.000000000000,-1145.373141584140,false,false,3,4,3,2018,2014,2018M05,effective_n_weighted_predictive_kl_log_score
L,100.000000000000,-1756.922480444651,false,false,3,4,3,2018,2014,2018M05,effective_n_weighted_predictive_kl_log_score
M,50.000000000000,-5040.034464307627,false,false,3,4,3,2018,2014,2018M05,effective_n_weighted_predictive_kl_log_score
MP,50.000000000000,-2513.256576577513,false,false,3,4,3,2018,2014,2018M05,effective_n_weighted_predictive_kl_log_score
OTHER,100.000000000000,-966.750517264897,false,false,3,4,3,2018,2014,2018M05,effective_n_weighted_predictive_kl_log_score
S,100.000000000000,-5035.510253024688,false,false,3,4,3,2018,2014,2018M05,effective_n_weighted_predictive_kl_log_score
SD,50.000000000000,-1393.514649434858,false,false,3,4,3,2018,2014,2018M05,effective_n_weighted_predictive_kl_log_score
V,100.000000000000,-1171.268819734939,false,false,3,4,3,2018,2014,2018M05,effective_n_weighted_predictive_kl_log_score
C,100.000000000000,-2093.764537188238,false,false,3,5,3,2022,2018,2022M05,effective_n_weighted_predictive_kl_log_score
KD,50.000000000000,-1700.776424390283,false,false,3,5,3,2022,2018,2022M05,effective_n_weighted_predictive_kl_log_score
L,50.000000000000,-2038.500250651161,false,false,3,5,3,2022,2018,2022M05,effective_n_weighted_predictive_kl_log_score
M,50.000000000000,-3848.594829643906,false,false,3,5,3,2022,2018,2022M05,effective_n_weighted_predictive_kl_log_score
MP,50.000000000000,-1332.664495161715,false,false,3,5,3,2022,2018,2022M05,effective_n_weighted_predictive_kl_log_score
OTHER,100.000000000000,-456.484968666695,false,false,3,5,3,2022,2018,2022M05,effective_n_weighted_predictive_kl_log_score
S,100.000000000000,-4002.754903177659,false,false,3,5,3,2022,2018,2022M05,effective_n_weighted_predictive_kl_log_score
SD,50.000000000000,-2407.800571487974,false,false,3,5,3,2022,2018,2022M05,effective_n_weighted_predictive_kl_log_score
V,100.000000000000,-1413.587914010004,false,false,3,5,3,2022,2018,2022M05,effective_n_weighted_predictive_kl_log_score
