transition_id,election_cycle,model,district_weighted_mae,district_unweighted_mae,national_mae,observations,districts
2014_2018,2018,B2_poll_state,0.019775019265,0.020059694436,0.011163810186,41679,4631
2014_2018,2018,T1_no_point_shrinkage_raked,0.018983504928,0.019376826515,0.011227475354,41679,4631
2014_2018,2018,T1_nonparty_poll_point,0.022102916620,0.022661479579,0.011188938215,41679,4631
2014_2018,2018,T1_previous_party_hierarchical_raked,0.018984240025,0.019371554320,0.011220102428,41679,4631
2014_2018,2018,T1_published_point_raked,0.018986802249,0.019380225108,0.011227078211,41679,4631
2018_2022,2022,B2_poll_state,0.021259229655,0.021860691231,0.014999584465,37476,4164
2018_2022,2022,T1_no_point_shrinkage_raked,0.020263695575,0.020855374919,0.015305907225,37476,4164
2018_2022,2022,T1_nonparty_poll_point,0.021307773986,0.021891089668,0.015377348869,37476,4164
2018_2022,2022,T1_previous_party_hierarchical_raked,0.020228129157,0.020814323595,0.015318530543,37476,4164
2018_2022,2022,T1_published_point_raked,0.020267935984,0.020859331534,0.015306648642,37476,4164
2018_2022,2022,T1_suppressed_historical_point,0.020265400965,0.020856592303,0.015314529101,37476,4164
2018_2022,2022,T1_suppressed_zero_point,0.020165542737,0.020753670967,0.015316753587,37476,4164
