transition_id,model,party,weighted_mae,weighted_observations
2014_2018,B2_poll_state,C,0.019379972907,4858338
2014_2018,B2_poll_state,KD,0.035081212462,4858338
2014_2018,B2_poll_state,L,0.011070464382,4858338
2014_2018,B2_poll_state,M,0.034953427415,4858338
2014_2018,B2_poll_state,MP,0.007772396048,4858338
2014_2018,B2_poll_state,OTHER,0.013584440442,4858338
2014_2018,B2_poll_state,S,0.022866520673,4858338
2014_2018,B2_poll_state,SD,0.020306221272,4858338
2014_2018,B2_poll_state,V,0.012960517790,4858338
2014_2018,T1_no_point_shrinkage_raked,C,0.013011463502,4858338
2014_2018,T1_no_point_shrinkage_raked,KD,0.035181478581,4858338
2014_2018,T1_no_point_shrinkage_raked,L,0.012375475321,4858338
2014_2018,T1_no_point_shrinkage_raked,M,0.031010288334,4858338
2014_2018,T1_no_point_shrinkage_raked,MP,0.009475477376,4858338
2014_2018,T1_no_point_shrinkage_raked,OTHER,0.013271208276,4858338
2014_2018,T1_no_point_shrinkage_raked,S,0.019536737088,4858338
2014_2018,T1_no_point_shrinkage_raked,SD,0.023526986609,4858338
2014_2018,T1_no_point_shrinkage_raked,V,0.013462429265,4858338
2014_2018,T1_nonparty_poll_point,C,0.015364467547,4858338
2014_2018,T1_nonparty_poll_point,KD,0.035200622856,4858338
2014_2018,T1_nonparty_poll_point,L,0.013960717809,4858338
2014_2018,T1_nonparty_poll_point,M,0.034638510598,4858338
2014_2018,T1_nonparty_poll_point,MP,0.011481212885,4858338
2014_2018,T1_nonparty_poll_point,OTHER,0.013527020137,4858338
2014_2018,T1_nonparty_poll_point,S,0.028911589430,4858338
2014_2018,T1_nonparty_poll_point,SD,0.029215883370,4858338
2014_2018,T1_nonparty_poll_point,V,0.016626224948,4858338
2014_2018,T1_previous_party_hierarchical_raked,C,0.012916012565,4858338
2014_2018,T1_previous_party_hierarchical_raked,KD,0.035167244014,4858338
2014_2018,T1_previous_party_hierarchical_raked,L,0.012401230284,4858338
2014_2018,T1_previous_party_hierarchical_raked,M,0.030994608870,4858338
2014_2018,T1_previous_party_hierarchical_raked,MP,0.009394275918,4858338
2014_2018,T1_previous_party_hierarchical_raked,OTHER,0.013196689263,4858338
2014_2018,T1_previous_party_hierarchical_raked,S,0.019519819241,4858338
2014_2018,T1_previous_party_hierarchical_raked,SD,0.023610462057,4858338
2014_2018,T1_previous_party_hierarchical_raked,V,0.013657818010,4858338
2014_2018,T1_published_point_raked,C,0.013015348927,4858338
2014_2018,T1_published_point_raked,KD,0.035182207138,4858338
2014_2018,T1_published_point_raked,L,0.012382721891,4858338
2014_2018,T1_published_point_raked,M,0.031011067404,4858338
2014_2018,T1_published_point_raked,MP,0.009496599004,4858338
2014_2018,T1_published_point_raked,OTHER,0.013274948474,4858338
2014_2018,T1_published_point_raked,S,0.019529740515,4858338
2014_2018,T1_published_point_raked,SD,0.023528636042,4858338
2014_2018,T1_published_point_raked,V,0.013459950847,4858338
2018_2022,B2_poll_state,C,0.012620087827,4201935
2018_2022,B2_poll_state,KD,0.011684774014,4201935
2018_2022,B2_poll_state,L,0.012299649179,4201935
2018_2022,B2_poll_state,M,0.030427531764,4201935
2018_2022,B2_poll_state,MP,0.017607883769,4201935
