wave_id,previous_party,row_base,n_eff,design_effect,valid_cells,used_fallback,clip_applied,n_eff_label,is_kish_ess,election_cycle
scb_2018M05_original,C,295,295.000000000000,1.000000000000,12,false,true,approximate_margin_inverted,false,2018
scb_2018M05_original,KD,184,183.657151757707,1.001866784054,11,false,false,approximate_margin_inverted,false,2018
scb_2018M05_original,L,283,283.000000000000,1.000000000000,11,false,true,approximate_margin_inverted,false,2018
scb_2018M05_original,M,1218,1218.000000000000,1.000000000000,12,false,true,approximate_margin_inverted,false,2018
scb_2018M05_original,MP,325,323.352390311419,1.005095399749,12,false,false,approximate_margin_inverted,false,2018
scb_2018M05_original,OTHER,143,143.000000000000,1.000000000000,11,false,true,approximate_margin_inverted,false,2018
scb_2018M05_original,S,1431,1409.964578624589,1.014919113355,12,false,false,approximate_margin_inverted,false,2018
scb_2018M05_original,SD,420,413.297154353705,1.016217981604,11,false,false,approximate_margin_inverted,false,2018
scb_2018M05_original,V,253,252.930811072664,1.000273548830,11,false,false,approximate_margin_inverted,false,2018
scb_2022M05,C,301,283.930097978597,1.060120086398,7,false,false,approximate_margin_inverted,false,2022
scb_2022M05,KD,219,207.741907692308,1.054192687613,9,false,false,approximate_margin_inverted,false,2022
scb_2022M05,L,263,235.355459829060,1.117458673748,9,false,false,approximate_margin_inverted,false,2022
scb_2022M05,M,801,717.716735202216,1.116039184699,8,false,false,approximate_margin_inverted,false,2022
scb_2022M05,MP,184,168.188060039417,1.094013451115,8,false,false,approximate_margin_inverted,false,2022
scb_2022M05,OTHER,51,50.503634976571,1.009828302926,4,false,false,approximate_margin_inverted,false,2022
scb_2022M05,S,1137,980.240362139917,1.159919591066,10,false,false,approximate_margin_inverted,false,2022
scb_2022M05,SD,490,467.334049704142,1.048500532564,7,false,false,approximate_margin_inverted,false,2022
scb_2022M05,V,318,278.055550374656,1.143656364966,6,false,false,approximate_margin_inverted,false,2022
