wave_id,matrix_stage,previous_party,current_party,probability,election_cycle
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,C,0.706119380833,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,KD,0.009896429488,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,L,0.034644664203,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,M,0.120259760868,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,MP,0.005025689184,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,OTHER,0.011644681345,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,S,0.043355852446,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,SD,0.058074176726,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,C,V,0.010979364908,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,C,0.135781576168,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,KD,0.497596446837,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,L,0.035089229561,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,M,0.167685939333,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,MP,0.014496524507,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,OTHER,0.013673555922,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,S,0.019836594477,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,SD,0.113335698185,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,KD,V,0.002504435008,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,L,C,0.110040593055,2018
scb_2018M05_original,HIERARCHICAL_POSTERIOR_MEAN_RAKED,L,KD,0.023977678616,2018
