transition_id,model,counties_won,counties_total,winning_vote_coverage,median_county_delta,reference_model
2014_2018,B2_national,18,21,0.632483371886,-0.002466068709,B2_region
2014_2018,B2_region,0,21,0.000000000000,0.000000000000,B2_region
2014_2018,R1_published_point,17,21,0.921458737535,-0.000693307943,B2_region
2014_2018,R1_region_transition,17,21,0.921458737535,-0.000694185425,B2_region
2014_2018,R1_suppressed_zero,17,21,0.921458737535,-0.000693641547,B2_region
2014_2018,T_nat,20,21,0.866672306455,-0.002636764030,B2_region
2014_2018,B2_national,9,21,0.221328363733,0.000208329204,T_nat
2014_2018,B2_region,1,21,0.133327693545,0.002636764030,T_nat
2014_2018,R1_published_point,2,21,0.167941794087,0.002197790332,T_nat
2014_2018,R1_region_transition,2,21,0.167941794087,0.002193114388,T_nat
2014_2018,R1_suppressed_zero,2,21,0.167941794087,0.002193151483,T_nat
2014_2018,T_nat,0,21,0.000000000000,0.000000000000,T_nat
2018_2022,B2_national,8,21,0.656542759467,0.001059733351,B2_region
2018_2022,B2_region,0,21,0.000000000000,0.000000000000,B2_region
2018_2022,R1_published_point,14,21,0.499287114151,-0.000389587085,B2_region
2018_2022,R1_region_transition,14,21,0.499287114151,-0.000396374603,B2_region
2018_2022,R1_suppressed_zero,7,21,0.302482070760,0.000286250133,B2_region
2018_2022,T_nat,11,21,0.729082672626,-0.000406035282,B2_region
2018_2022,B2_national,5,21,0.367151086345,0.001181058352,T_nat
2018_2022,B2_region,10,21,0.270917327374,0.000406035282,T_nat
2018_2022,R1_published_point,13,21,0.343457240533,-0.000587492311,T_nat
2018_2022,R1_region_transition,13,21,0.343457240533,-0.000584724491,T_nat
2018_2022,R1_suppressed_zero,11,21,0.309112111444,-0.000113976131,T_nat
2018_2022,T_nat,0,21,0.000000000000,0.000000000000,T_nat
