transition_id,model,district_size,weighted_mae,weighted_observations
2014_2018,B2_national,Q1_smallest,0.021161444292,7235856
2014_2018,B2_national,Q2,0.020479484539,10111473
2014_2018,B2_national,Q3,0.019857747612,11940102
2014_2018,B2_national,Q4_largest,0.018518375189,14437611
2014_2018,B2_region,Q1_smallest,0.022137299156,7235856
2014_2018,B2_region,Q2,0.021366919741,10111473
2014_2018,B2_region,Q3,0.020766249202,11940102
2014_2018,B2_region,Q4_largest,0.020580287079,14437611
2014_2018,R1_published_point,Q1_smallest,0.022467142682,7235856
2014_2018,R1_published_point,Q2,0.020763436215,10111473
2014_2018,R1_published_point,Q3,0.019889677741,11940102
2014_2018,R1_published_point,Q4_largest,0.019647377512,14437611
2014_2018,R1_region_transition,Q1_smallest,0.022464942360,7235856
2014_2018,R1_region_transition,Q2,0.020761820034,10111473
2014_2018,R1_region_transition,Q3,0.019888419797,11940102
2014_2018,R1_region_transition,Q4_largest,0.019644783509,14437611
2014_2018,R1_suppressed_zero,Q1_smallest,0.022465119199,7235856
2014_2018,R1_suppressed_zero,Q2,0.020761837385,10111473
2014_2018,R1_suppressed_zero,Q3,0.019888199492,11940102
2014_2018,R1_suppressed_zero,Q4_largest,0.019644827392,14437611
2014_2018,T_nat,Q1_smallest,0.021060561431,7235856
2014_2018,T_nat,Q2,0.019577938525,10111473
2014_2018,T_nat,Q3,0.018673272528,11940102
2014_2018,T_nat,Q4_largest,0.017782774798,14437611
2018_2022,B2_national,Q1_smallest,0.024704838413,6391386
2018_2022,B2_national,Q2,0.021054759216,8750421
2018_2022,B2_national,Q3,0.020686315678,10357533
2018_2022,B2_national,Q4_largest,0.020098412098,12318075
2018_2022,B2_region,Q1_smallest,0.025672894841,6391386
2018_2022,B2_region,Q2,0.022587258186,8750421
2018_2022,B2_region,Q3,0.021521566165,10357533
2018_2022,B2_region,Q4_largest,0.020995063215,12318075
2018_2022,R1_published_point,Q1_smallest,0.024578913244,6391386
2018_2022,R1_published_point,Q2,0.022313649845,8750421
2018_2022,R1_published_point,Q3,0.021713193392,10357533
2018_2022,R1_published_point,Q4_largest,0.021283390339,12318075
2018_2022,R1_region_transition,Q1_smallest,0.024574491072,6391386
2018_2022,R1_region_transition,Q2,0.022310855582,8750421
2018_2022,R1_region_transition,Q3,0.021711394629,10357533
2018_2022,R1_region_transition,Q4_largest,0.021279648449,12318075
2018_2022,R1_suppressed_zero,Q1_smallest,0.024957129700,6391386
2018_2022,R1_suppressed_zero,Q2,0.022802858247,8750421
2018_2022,R1_suppressed_zero,Q3,0.022206972241,10357533
2018_2022,R1_suppressed_zero,Q4_largest,0.021875041689,12318075
2018_2022,T_nat,Q1_smallest,0.023659181165,6391386
2018_2022,T_nat,Q2,0.020375825731,8750421
2018_2022,T_nat,Q3,0.019541920805,10357533
2018_2022,T_nat,Q4_largest,0.019029148850,12318075
