transition_id,model,region_id,weighted_mae,weighted_observations
2014_2018,B2_national,0180,0.028139096755,3563523
2014_2018,B2_national,SE01exkl0180,0.022698072766,5162895
2014_2018,B2_national,SE06,0.017823183527,4274973
2014_2018,B2_national,SE07+SE08,0.016755838062,4486401
2014_2018,B2_national,SE09,0.019425997670,4103712
2014_2018,B2_national,SE0A,0.019037946597,7343262
2014_2018,B2_national,SE12,0.018654236671,7753464
2014_2018,B2_national,SE2,0.018713039944,7036812
2014_2018,B2_region,0180,0.021600940089,3563523
2014_2018,B2_region,SE01exkl0180,0.022637173709,5162895
2014_2018,B2_region,SE06,0.020807937991,4274973
2014_2018,B2_region,SE07+SE08,0.021933466416,4486401
2014_2018,B2_region,SE09,0.021383151922,4103712
2014_2018,B2_region,SE0A,0.018046560143,7343262
2014_2018,B2_region,SE12,0.021235147931,7753464
2014_2018,B2_region,SE2,0.022054487981,7036812
2014_2018,R1_published_point,0180,0.020707953752,3563523
2014_2018,R1_published_point,SE01exkl0180,0.022419591204,5162895
2014_2018,R1_published_point,SE06,0.020016642536,4274973
2014_2018,R1_published_point,SE07+SE08,0.022187657149,4486401
2014_2018,R1_published_point,SE09,0.020516303335,4103712
2014_2018,R1_published_point,SE0A,0.017356030455,7343262
2014_2018,R1_published_point,SE12,0.020443888044,7753464
2014_2018,R1_published_point,SE2,0.021153539562,7036812
2014_2018,R1_region_transition,0180,0.020706468194,3563523
2014_2018,R1_region_transition,SE01exkl0180,0.022418729378,5162895
2014_2018,R1_region_transition,SE06,0.020013659940,4274973
2014_2018,R1_region_transition,SE07+SE08,0.022184868473,4486401
2014_2018,R1_region_transition,SE09,0.020518059076,4103712
2014_2018,R1_region_transition,SE0A,0.017353154564,7343262
2014_2018,R1_region_transition,SE12,0.020442658446,7753464
2014_2018,R1_region_transition,SE2,0.021149804576,7036812
2014_2018,R1_suppressed_zero,0180,0.020705981703,3563523
2014_2018,R1_suppressed_zero,SE01exkl0180,0.022417131587,5162895
2014_2018,R1_suppressed_zero,SE06,0.020015021702,4274973
2014_2018,R1_suppressed_zero,SE07+SE08,0.022184940252,4486401
2014_2018,R1_suppressed_zero,SE09,0.020517326613,4103712
2014_2018,R1_suppressed_zero,SE0A,0.017352482813,7343262
2014_2018,R1_suppressed_zero,SE12,0.020442709542,7753464
2014_2018,R1_suppressed_zero,SE2,0.021151345038,7036812
2014_2018,T_nat,0180,0.025080753589,3563523
2014_2018,T_nat,SE01exkl0180,0.019214387048,5162895
2014_2018,T_nat,SE06,0.017699212223,4274973
2014_2018,T_nat,SE07+SE08,0.018597859520,4486401
2014_2018,T_nat,SE09,0.019035781489,4103712
2014_2018,T_nat,SE0A,0.018405903937,7343262
2014_2018,T_nat,SE12,0.018031992328,7753464
2014_2018,T_nat,SE2,0.018373176949,7036812
2018_2022,B2_national,0180,0.026389088340,3535821
2018_2022,B2_national,SE01exkl0180,0.021048445464,5103846
2018_2022,B2_national,SE06,0.021698915096,4138569
2018_2022,B2_national,SE07+SE08,0.024281408236,3183489
2018_2022,B2_national,SE09,0.019448559027,3572937
2018_2022,B2_national,SE0A,0.019091063259,6236829
2018_2022,B2_national,SE12,0.020865564707,6232239
