transition_id,party,weighted_correlation_previous_share_residual
2010_2014,C,-0.27243978996362467
2014_2018,C,-0.7677260737638822
2018_2022,C,-0.5220080590397678
2010_2014,KD,-0.2375875763726422
2014_2018,KD,-0.5314935527993885
2018_2022,KD,-0.2810763386623451
2010_2014,L,0.028361440848480732
2014_2018,L,-0.4637346868013088
2018_2022,L,-0.11809691227620045
2010_2014,M,-0.16644292202891886
2014_2018,M,-0.5550051730572686
2018_2022,M,-0.49075904532321923
2010_2014,MP,-0.35815898398607776
2014_2018,MP,-0.05691337466973968
2018_2022,MP,0.12595700770195267
2010_2014,OTHER,-0.4038394067135985
2014_2018,OTHER,-0.7939716707471323
2018_2022,OTHER,-0.27558043774562757
2010_2014,S,-0.19515473769902142
2014_2018,S,-0.507229234947348
2018_2022,S,-0.7318630748134838
2010_2014,SD,-0.41594079846668003
2014_2018,SD,-0.16754414620200803
2018_2022,SD,0.03551677158922504
2010_2014,V,-0.16513947286251285
2014_2018,V,-0.07430927028811087
2018_2022,V,0.20262660219193004
