transition_id,urbanity_vintage,municipality_main_group,included,districts,valid_votes,mean_population_change,total_districts,total_valid_votes,district_fraction_within_urbanity,vote_fraction_within_urbanity
2010_2014,SKR_2017_FIXED_DESCRIPTIVE,Mindre orter och landsbygd,false,137,138742,-0.0010259650790012914,1587,1603361,0.08632640201638311,0.08653197876211284
2010_2014,SKR_2017_FIXED_DESCRIPTIVE,Mindre orter och landsbygd,true,1450,1464619,0.0004920747000736969,1587,1603361,0.9136735979836169,0.9134680212378872
2010_2014,SKR_2017_FIXED_DESCRIPTIVE,Storstäder och storstadsnära,false,867,897261,0.06267278579719465,2014,2106188,0.4304865938430983,0.42601182800395787
2010_2014,SKR_2017_FIXED_DESCRIPTIVE,Storstäder och storstadsnära,true,1147,1208927,0.06107865035460564,2014,2106188,0.5695134061569017,0.5739881719960421
2010_2014,SKR_2017_FIXED_DESCRIPTIVE,Större städer och närkommuner,false,514,514067,0.037619302438991586,2236,2344671,0.2298747763864043,0.21924909720809443
2010_2014,SKR_2017_FIXED_DESCRIPTIVE,Större städer och närkommuner,true,1722,1830604,0.02472678040430683,2236,2344671,0.7701252236135957,0.7807509027919055
2014_2018,SKR_2017_FIXED_DESCRIPTIVE,Mindre orter och landsbygd,false,186,211844,0.03166552703063988,1579,1624012,0.11779607346421786,0.13044484892968772
2014_2018,SKR_2017_FIXED_DESCRIPTIVE,Mindre orter och landsbygd,true,1393,1412168,0.02929170997963121,1579,1624012,0.8822039265357822,0.8695551510703123
2014_2018,SKR_2017_FIXED_DESCRIPTIVE,Storstäder och storstadsnära,false,678,676367,0.06592773518917337,2146,2228049,0.31593662628145386,0.3035691764409131
2014_2018,SKR_2017_FIXED_DESCRIPTIVE,Storstäder och storstadsnära,true,1468,1551682,0.062194766998807126,2146,2228049,0.6840633737185461,0.6964308235590869
2014_2018,SKR_2017_FIXED_DESCRIPTIVE,Större städer och närkommuner,false,509,529715,0.05192710173676952,2279,2424203,0.2233435717419921,0.21851099103499172
2014_2018,SKR_2017_FIXED_DESCRIPTIVE,Större städer och närkommuner,true,1770,1894488,0.04808262378754556,2279,2424203,0.7766564282580078,0.7814890089650083
2018_2022,SKR_2017_FIXED_DESCRIPTIVE,Mindre orter och landsbygd,false,302,312567,0.019143050969256822,1586,1599969,0.19041614123581338,0.19535816006435125
2018_2022,SKR_2017_FIXED_DESCRIPTIVE,Mindre orter och landsbygd,true,1284,1287402,0.007688580888005261,1586,1599969,0.8095838587641866,0.8046418399356488
2018_2022,SKR_2017_FIXED_DESCRIPTIVE,Storstäder och storstadsnära,false,890,816642,0.04687864501837971,2303,2240567,0.3864524533217542,0.3644800624127732
2018_2022,SKR_2017_FIXED_DESCRIPTIVE,Storstäder och storstadsnära,true,1413,1423925,0.04626226462846078,2303,2240567,0.6135475466782457,0.6355199375872268
2018_2022,SKR_2017_FIXED_DESCRIPTIVE,Större städer och närkommuner,false,908,926185,0.036912383386437715,2375,2416793,0.3823157894736842,0.38322893189445684
2018_2022,SKR_2017_FIXED_DESCRIPTIVE,Större städer och närkommuner,true,1467,1490608,0.033834221976998466,2375,2416793,0.6176842105263158,0.6167710681055432
