test_id,train,test,ablation,model,weighted_mae,baseline_mae,delta_mae,relative_improvement,districts
B0,2014_2018,2018_2022,baseline,B0_no_change,0.019552798857984815,,,,4164
B0,2014_2018,2018_2022,baseline,B1_uniform_swing,0.015544007766893011,,,,4164
B0,2014_2018,2018_2022,baseline,B2_proportional_swing,0.014691687112835534,0.014691687112835534,0.0,0.0,4164
B0,2014_2018,2018_2022,A_previous_shares,ridge,0.016910264222734662,0.014691687112835534,0.0022185771098991273,-0.1510090088946181,4164
B0,2014_2018,2018_2022,A_previous_shares,elastic_net,0.016605870027649315,0.014691687112835534,0.0019141829148137807,-0.13029020425717044,4164
B0,2014_2018,2018_2022,A_previous_shares,lightgbm,0.016645350475374368,0.014691687112835534,0.0019536633625388336,-0.13297746865518234,4164
B0,2014_2018,2018_2022,B_plus_structure,ridge,0.017030615131183563,0.014691687112835534,0.0023389280183480285,-0.15920077798992885,4164
B0,2014_2018,2018_2022,B_plus_structure,elastic_net,0.016677571281534062,0.014691687112835534,0.0019858841686985276,-0.13517060045224763,4164
B0,2014_2018,2018_2022,B_plus_structure,lightgbm,0.016767173428603663,0.014691687112835534,0.0020754863157681283,-0.14126943351215665,4164
B0,2014_2018,2018_2022,C_plus_turnout_size,ridge,0.01705475472778052,0.014691687112835534,0.0023630676149449872,-0.160843856583392,4164
B0,2014_2018,2018_2022,C_plus_turnout_size,elastic_net,0.01674870264243891,0.014691687112835534,0.002057015529603374,-0.14001220648146273,4164
B0,2014_2018,2018_2022,C_plus_turnout_size,lightgbm,0.016684201057079594,0.014691687112835534,0.0019925139442440593,-0.13562186078025582,4164
A,2010_2014,2014_2018,baseline,B0_no_change,0.027935530609520302,,,,4631
A,2010_2014,2014_2018,baseline,B1_uniform_swing,0.017101614733359336,,,,4631
A,2010_2014,2014_2018,baseline,B2_proportional_swing,0.014653774801774325,0.014653774801774325,0.0,0.0,4631
A,2010_2014,2014_2018,A_previous_shares,ridge,0.022456006450026832,0.014653774801774325,0.007802231648252507,-0.5324383480567606,4631
A,2010_2014,2014_2018,A_previous_shares,elastic_net,0.022231919581528377,0.014653774801774325,0.0075781447797540515,-0.5171462563241019,4631
A,2010_2014,2014_2018,A_previous_shares,lightgbm,0.01987641234012243,0.014653774801774325,0.005222637538348104,-0.3564021973174947,4631
A,2010_2014,2014_2018,B_plus_structure,ridge,0.022608204762184156,0.014653774801774325,0.00795442996040983,-0.5428246351545325,4631
A,2010_2014,2014_2018,B_plus_structure,elastic_net,0.02230841611229583,0.014653774801774325,0.0076546413105215046,-0.5223665174378589,4631
A,2010_2014,2014_2018,B_plus_structure,lightgbm,0.01981255272394756,0.014653774801774325,0.005158777922173233,-0.3520443020284843,4631
A,2010_2014,2014_2018,C_plus_turnout_size,ridge,0.02208132307526128,0.014653774801774325,0.007427548273486954,-0.5068692793468891,4631
A,2010_2014,2014_2018,C_plus_turnout_size,elastic_net,0.021771046792634825,0.014653774801774325,0.007117271990860499,-0.4856954666724316,4631
A,2010_2014,2014_2018,C_plus_turnout_size,lightgbm,0.01974091029343501,0.014653774801774325,0.005087135491660684,-0.3471552934636826,4631
B,2010_2014 + 2014_2018,2018_2022,baseline,B0_no_change,0.019552798857984815,,,,4164
B,2010_2014 + 2014_2018,2018_2022,baseline,B1_uniform_swing,0.015544007766893011,,,,4164
B,2010_2014 + 2014_2018,2018_2022,baseline,B2_proportional_swing,0.014691687112835534,0.014691687112835534,0.0,0.0,4164
B,2010_2014 + 2014_2018,2018_2022,A_previous_shares,ridge,0.01657714964698473,0.014691687112835534,0.0018854625341491946,-0.1283353313794671,4164
B,2010_2014 + 2014_2018,2018_2022,A_previous_shares,elastic_net,0.016196348656222073,0.014691687112835534,0.001504661543386538,-0.1024158445405481,4164
B,2010_2014 + 2014_2018,2018_2022,A_previous_shares,lightgbm,0.015607968969553746,0.014691687112835534,0.0009162818567182117,-0.06236736800075828,4164
B,2010_2014 + 2014_2018,2018_2022,B_plus_structure,ridge,0.016545432563567518,0.014691687112835534,0.0018537454507319834,-0.12617648582458857,4164
B,2010_2014 + 2014_2018,2018_2022,B_plus_structure,elastic_net,0.01600033173017162,0.014691687112835534,0.0013086446173360862,-0.0890738148236751,4164
B,2010_2014 + 2014_2018,2018_2022,B_plus_structure,lightgbm,0.015448360156502043,0.014691687112835534,0.000756673043666509,-0.051503482061323935,4164
B,2010_2014 + 2014_2018,2018_2022,C_plus_turnout_size,ridge,0.016702074623802014,0.014691687112835534,0.00201038751096648,-0.1368384376502332,4164
B,2010_2014 + 2014_2018,2018_2022,C_plus_turnout_size,elastic_net,0.016222735998471873,0.014691687112835534,0.0015310488856363387,-0.10421191752026376,4164
B,2010_2014 + 2014_2018,2018_2022,C_plus_turnout_size,lightgbm,0.01555557854716418,0.014691687112835534,0.0008638914343286463,-0.05880137711167965,4164
