model,grouping,weighted_mae,improvement_vs_proportional,relative_improvement,folds,districts
proportional_swing,municipality_id,0.014691687112835534,0.0,0.0,5,4164
ridge,municipality_id,0.011041364267872332,0.003650322844963203,0.24846178773941238,5,4164
elastic_net,municipality_id,0.01104812303410189,0.0036435640787336448,0.24800174756991727,5,4164
lightgbm,municipality_id,0.01063840725654535,0.0040532798562901845,0.27588933967624435,5,4164
catboost,municipality_id,0.01065561826977983,0.004036068843055704,0.27471785997467596,5,4164
proportional_swing,county_id,0.014691687112835534,0.0,0.0,21,4164
ridge,county_id,0.011311667284553644,0.0033800198282818907,0.2300634230992371,21,4164
elastic_net,county_id,0.011323827651890432,0.0033678594609451024,0.22923571915731444,21,4164
lightgbm,county_id,0.010872170111471062,0.0038195170013644725,0.2599781068048689,21,4164
catboost,county_id,0.010918278250500402,0.003773408862335133,0.25683972394419274,21,4164
