model,grouping,block,weighted_mae,unweighted_mae
lightgbm,county_id,left_2022,0.020426348867358304,0.021244017358560092
catboost,county_id,left_2022,0.020559818739492614,0.0213477532490921
ridge,county_id,left_2022,0.020998748488095107,0.021849095894683365
elastic_net,county_id,left_2022,0.021012125945041527,0.021855910518557446
proportional_swing,county_id,left_2022,0.03718475390730137,0.0381806181650779
catboost,county_id,other,0.006279416476990937,0.00697951325734759
ridge,county_id,other,0.00682719284592143,0.007547432679094779
elastic_net,county_id,other,0.006994911547456883,0.0077243996483841405
proportional_swing,county_id,other,0.007372434611320822,0.008557848975763754
lightgbm,county_id,other,0.008114712385312427,0.00876523181778916
lightgbm,county_id,right_tido_2022,0.02114379253981806,0.021883151797197995
catboost,county_id,right_tido_2022,0.0212693370129,0.022075108796960476
ridge,county_id,right_tido_2022,0.02203082879270153,0.022918536876036965
elastic_net,county_id,right_tido_2022,0.022052205087895533,0.022945114213204318
proportional_swing,county_id,right_tido_2022,0.03600739588608977,0.036862073184849145
lightgbm,municipality_id,left_2022,0.01998017875276267,0.020861104809804264
catboost,municipality_id,left_2022,0.02006741065125298,0.020928505125374468
ridge,municipality_id,left_2022,0.020344655927747535,0.021192505609689934
elastic_net,municipality_id,left_2022,0.02037575999918337,0.021217587646871577
proportional_swing,municipality_id,left_2022,0.03718475390730137,0.0381806181650779
catboost,municipality_id,other,0.006026910549465892,0.0067386088428542466
ridge,municipality_id,other,0.006639449121827422,0.007349673597529609
elastic_net,municipality_id,other,0.006775539911075235,0.007482554043832152
proportional_swing,municipality_id,other,0.007372434611320822,0.008557848975763754
lightgbm,municipality_id,other,0.007784442433510565,0.008409867743532229
lightgbm,municipality_id,right_tido_2022,0.02046010341316787,0.021237630451555044
catboost,municipality_id,right_tido_2022,0.02066130631433524,0.021478149520434368
elastic_net,municipality_id,right_tido_2022,0.021259274411615035,0.02214414160678121
ridge,municipality_id,right_tido_2022,0.02128487668477315,0.022165623906163858
proportional_swing,municipality_id,right_tido_2022,0.03600739588608977,0.036862073184849145
