model,grouping,block,weighted_mae,unweighted_mae
elastic_net,county_id,alliance_2018,0.017426198060502874,0.01791594928475055
ridge,county_id,alliance_2018,0.017441825896053365,0.01793267069043891
catboost,county_id,alliance_2018,0.017443288652226344,0.018002797795717868
lightgbm,county_id,alliance_2018,0.01780101738327903,0.018335838454882965
proportional_swing,county_id,alliance_2018,0.02273424037487811,0.023067505253127212
catboost,county_id,other,0.006279416476990937,0.00697951325734759
ridge,county_id,other,0.00682719284592143,0.007547432679094779
elastic_net,county_id,other,0.006994911547456883,0.0077243996483841405
proportional_swing,county_id,other,0.007372434611320822,0.008557848975763754
lightgbm,county_id,other,0.008114712385312427,0.00876523181778916
catboost,county_id,red_green_2018,0.01917703332422589,0.019982220834917356
lightgbm,county_id,red_green_2018,0.019378084477426758,0.020224376991435474
elastic_net,county_id,red_green_2018,0.019722768388079057,0.020528616290468097
ridge,county_id,red_green_2018,0.019732289582374885,0.02053668391873427
proportional_swing,county_id,red_green_2018,0.03205481888599612,0.03299417310311659
lightgbm,county_id,sd_2018,0.01534311291941022,0.01594136440120779
catboost,county_id,sd_2018,0.015575965263971668,0.0161839647396018
ridge,county_id,sd_2018,0.0161105231817779,0.01681558775723045
elastic_net,county_id,sd_2018,0.016116782117768385,0.016826668936160194
proportional_swing,county_id,sd_2018,0.018627705812195687,0.019295224493035792
elastic_net,municipality_id,alliance_2018,0.017062861889350564,0.017574567527213203
catboost,municipality_id,alliance_2018,0.01706425303404065,0.0176312107206248
ridge,municipality_id,alliance_2018,0.017068399012122107,0.01758032607960612
lightgbm,municipality_id,alliance_2018,0.017236924575551395,0.017796955020108272
proportional_swing,municipality_id,alliance_2018,0.02273424037487811,0.023067505253127212
catboost,municipality_id,other,0.006026910549465892,0.0067386088428542466
ridge,municipality_id,other,0.006639449121827422,0.007349673597529609
elastic_net,municipality_id,other,0.006775539911075235,0.007482554043832152
proportional_swing,municipality_id,other,0.007372434611320822,0.008557848975763754
lightgbm,municipality_id,other,0.007784442433510565,0.008409867743532229
catboost,municipality_id,red_green_2018,0.01888802964234695,0.01976279963639678
lightgbm,municipality_id,red_green_2018,0.018988487493476734,0.01989998908106451
ridge,municipality_id,red_green_2018,0.019160346275718814,0.01997941171971766
elastic_net,municipality_id,red_green_2018,0.019183750400746605,0.02000260812366627
proportional_swing,municipality_id,red_green_2018,0.032054818885996116,0.03299417310311659
lightgbm,municipality_id,sd_2018,0.01496483406654443,0.015583056531969593
catboost,municipality_id,sd_2018,0.01512904690899386,0.015767167469271155
elastic_net,municipality_id,sd_2018,0.01575969403618232,0.016489044221861034
ridge,municipality_id,sd_2018,0.01577941551734762,0.01650460700602602
proportional_swing,municipality_id,sd_2018,0.018627705812195687,0.019295224493035792
