model,grouping,party,weighted_mae,unweighted_mae
elastic_net,county_id,C,0.00890246954193926,0.009170374640423778
ridge,county_id,C,0.00890306651301858,0.009171867590414053
lightgbm,county_id,C,0.00890346051681498,0.00919696639254234
catboost,county_id,C,0.009165486564326794,0.009464595099083973
proportional_swing,county_id,C,0.012514718684443852,0.013027619840310613
ridge,county_id,KD,0.00876512748657891,0.009063439673847958
lightgbm,county_id,KD,0.008791313619372139,0.009119549241765338
elastic_net,county_id,KD,0.00879150313504531,0.009085733240871868
catboost,county_id,KD,0.008928342508106549,0.009233264713792148
proportional_swing,county_id,KD,0.011773950169547204,0.012055828878028953
lightgbm,county_id,L,0.0070457296839051605,0.007099242560925069
catboost,county_id,L,0.0074519817859976314,0.007514470120054373
ridge,county_id,L,0.007452660641744013,0.007531965535859964
elastic_net,county_id,L,0.0074747858384613,0.007546152786438729
proportional_swing,county_id,L,0.00835506604685411,0.008428735889601111
lightgbm,county_id,M,0.014402428696165603,0.014723966286379437
elastic_net,county_id,M,0.014639139664496157,0.014950388620307328
ridge,county_id,M,0.01466637503803033,0.014976108255726067
catboost,county_id,M,0.01473979744764162,0.015102399465285842
proportional_swing,county_id,M,0.01931022898290317,0.019533366357466463
lightgbm,county_id,MP,0.008219029173639128,0.00858571244561066
catboost,county_id,MP,0.00832498419971616,0.008671291390267082
elastic_net,county_id,MP,0.008583433026192685,0.008938245131508593
ridge,county_id,MP,0.008596432766028988,0.008949524649245809
proportional_swing,county_id,MP,0.009116450650014915,0.009439057090216314
catboost,county_id,OTHER,0.006279416476990937,0.00697951325734759
ridge,county_id,OTHER,0.00682719284592143,0.007547432679094779
elastic_net,county_id,OTHER,0.006994911547456883,0.0077243996483841405
proportional_swing,county_id,OTHER,0.007372434611320822,0.008557848975763754
lightgbm,county_id,OTHER,0.008114712385312427,0.00876523181778916
lightgbm,county_id,S,0.01737216119766668,0.01828239996268977
catboost,county_id,S,0.017557824586486855,0.018478056769933443
elastic_net,county_id,S,0.01828434934933794,0.01922767915058168
ridge,county_id,S,0.018290852862782845,0.019234317637243117
proportional_swing,county_id,S,0.032124659196994566,0.03385346995786475
lightgbm,county_id,SD,0.01534311291941022,0.01594136440120779
catboost,county_id,SD,0.015575965263971668,0.0161839647396018
ridge,county_id,SD,0.0161105231817779,0.01681558775723045
elastic_net,county_id,SD,0.016116782117768385,0.016826668936160194
proportional_swing,county_id,SD,0.018627705812195687,0.019295224493035792
lightgbm,county_id,V,0.009657582810953204,0.010445450172546472
catboost,county_id,V,0.01024070542126541,0.011057197150731255
elastic_net,county_id,V,0.012127074646315987,0.01302450628224721
ridge,county_id,V,0.012192774225099795,0.013080713258995177
proportional_swing,county_id,V,0.013029969861245504,0.014538704573174816
ridge,municipality_id,C,0.008575301964410462,0.008859723001440528
elastic_net,municipality_id,C,0.00859118576520073,0.008874237149288073
lightgbm,municipality_id,C,0.008633572009295563,0.008928044796059924
catboost,municipality_id,C,0.008915525246794146,0.009225174044429636
proportional_swing,municipality_id,C,0.012514718684443852,0.013027619840310613
lightgbm,municipality_id,KD,0.008401577457479594,0.008759962458630111
elastic_net,municipality_id,KD,0.008411341998668852,0.008739088877623966
ridge,municipality_id,KD,0.00842172576797764,0.008751312201658822
catboost,municipality_id,KD,0.008491055330736009,0.008826924257375154
proportional_swing,municipality_id,KD,0.011773950169547204,0.012055828878028953
lightgbm,municipality_id,L,0.006893583449338781,0.006962962200956195
catboost,municipality_id,L,0.007287504544798418,0.007367523344103742
